"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 25, 2021","229.70","224.83","235.41","224.83","3.56M","-3.97%"
"Mar 24, 2021","239.19","258.53","259.65","236.91","11.83M","-8.55%"
"Mar 23, 2021","261.55","258.25","263.60","249.44","15.38M","-1.72%"
"Mar 22, 2021","266.13","263.00","267.01","256.80","8.21M","3.36%"
"Mar 19, 2021","257.47","263.00","264.26","255.03","9.76M","-2.79%"
"Mar 18, 2021","264.85","270.21","271.84","263.44","9.29M","-4.43%"
"Mar 17, 2021","277.13","260.32","278.17","256.11","10.57M","3.88%"
"Mar 16, 2021","266.78","265.00","273.92","263.00","7.17M","0.47%"
"Mar 15, 2021","265.53","262.98","270.73","259.38","6.93M","0.48%"
"Mar 12, 2021","264.25","264.00","266.27","258.00","6.23M","-2.98%"
"Mar 11, 2021","272.38","264.23","272.46","261.00","11.88M","6.76%"
"Mar 10, 2021","255.14","271.66","271.66","246.62","12.94M","-3.46%"
"Mar 09, 2021","264.28","249.36","265.61","246.04","12.67M","13.58%"
"Mar 08, 2021","232.68","254.30","255.50","226.86","11.56M","-11.10%"
"Mar 05, 2021","261.72","266.25","271.00","233.90","15.98M","0.43%"
"Mar 04, 2021","260.59","272.22","279.05","253.75","20.23M","-6.20%"
"Mar 03, 2021","277.80","305.00","310.95","271.91","12.46M","-7.99%"
"Mar 02, 2021","301.93","296.69","308.29","294.17","10.50M","2.15%"
"Mar 01, 2021","295.58","303.90","303.90","291.42","9.80M","4.28%"
"Feb 26, 2021","283.46","288.61","295.49","274.18","15.21M","-3.65%"
"Feb 25, 2021","294.20","305.74","309.51","288.94","13.83M","-3.23%"
"Feb 24, 2021","304.01","309.76","313.50","300.00","12.27M","-5.77%"
"Feb 23, 2021","322.61","313.77","324.68","290.00","16.84M","-3.93%"
"Feb 22, 2021","335.79","321.63","354.44","317.27","20.68M","-1.21%"
"Feb 19, 2021","339.91","305.63","346.00","301.19","17.15M","14.06%"
"Feb 18, 2021","298.01","291.16","298.34","288.27","13.65M","-3.46%"
"Feb 17, 2021","308.68","318.16","321.14","306.06","8.50M","-5.37%"
"Feb 16, 2021","326.20","319.27","326.42","316.00","9.40M","4.22%"
"Feb 12, 2021","313.00","303.00","319.00","298.20","5.01M","1.10%"
"Feb 11, 2021","309.59","308.37","311.97","301.26","5.54M","1.82%"
"Feb 10, 2021","304.05","310.93","322.60","296.89","17.28M","3.05%"
"Feb 09, 2021","295.04","279.48","304.18","279.04","10.98M","6.67%"
"Feb 08, 2021","276.60","275.33","281.88","273.00","7.00M","2.40%"
"Feb 05, 2021","270.13","261.56","271.53","256.72","8.17M","4.53%"
"Feb 04, 2021","258.43","256.51","261.29","255.20","6.84M","2.85%"
"Feb 03, 2021","251.28","249.58","255.35","249.32","5.48M","0.30%"
"Feb 02, 2021","250.52","245.10","250.83","243.10","4.86M","3.57%"
"Feb 01, 2021","241.89","239.43","243.49","236.00","4.38M","2.92%"
"Jan 29, 2021","235.02","240.30","241.80","233.10","7.36M","-4.02%"
"Jan 28, 2021","244.87","231.25","245.52","230.92","7.11M","3.24%"
"Jan 27, 2021","237.18","236.66","244.36","233.46","9.23M","-4.48%"
"Jan 26, 2021","248.30","254.28","256.60","247.00","5.76M","-2.58%"
"Jan 25, 2021","254.87","260.82","261.60","242.17","8.55M","0.84%"
"Jan 22, 2021","252.75","253.39","259.70","251.08","6.74M","0.33%"
"Jan 21, 2021","251.91","263.50","263.93","250.68","8.37M","-3.45%"
"Jan 20, 2021","260.90","260.00","264.94","253.32","14.01M","4.18%"
"Jan 19, 2021","250.42","250.00","257.33","247.95","10.02M","4.84%"
"Jan 15, 2021","238.87","245.27","251.21","237.86","8.41M","-4.07%"
"Jan 14, 2021","249.00","241.15","258.67","240.20","15.91M","5.09%"
"Jan 13, 2021","236.94","242.00","243.18","230.45","11.32M","-1.05%"
"Jan 12, 2021","239.45","226.60","244.10","221.79","17.88M","9.06%"
"Jan 11, 2021","219.55","243.98","248.78","218.47","17.67M","-8.62%"
"Jan 08, 2021","240.25","227.06","241.00","218.00","22.77M","15.57%"
"Jan 07, 2021","207.89","207.05","213.20","204.34","11.04M","1.92%"
"Jan 06, 2021","203.97","212.78","213.34","203.72","8.42M","-4.69%"
"Jan 05, 2021","214.00","214.95","218.00","212.18","7.48M","-1.29%"
"Jan 04, 2021","216.80","220.00","227.58","214.00","12.43M","0.26%"
"Dec 31, 2020","216.24","224.36","225.35","212.68","15.81M","-1.54%"
"Dec 30, 2020","219.63","198.10","220.56","198.09","25.43M","12.59%"
"Dec 29, 2020","195.07","196.58","199.69","192.67","5.72M","1.03%"
"Dec 28, 2020","193.08","189.72","198.67","189.72","5.69M","1.08%"
"Dec 24, 2020","191.02","189.75","192.88","189.00","2.98M","-1.21%"
"Dec 23, 2020","193.36","191.28","195.42","185.19","5.44M","1.10%"
"Dec 22, 2020","191.26","198.31","198.89","188.66","6.21M","-0.94%"
"Dec 21, 2020","193.08","189.59","202.75","189.59","12.75M","0.20%"
"Dec 18, 2020","192.69","191.97","199.80","190.17","15.08M","1.36%"
"Dec 17, 2020","190.11","185.04","193.76","184.96","10.80M","-0.15%"
"Dec 16, 2020","190.40","189.34","201.11","185.53","32.21M","2.64%"
"Dec 15, 2020","185.50","170.32","186.60","168.29","19.18M","13.83%"
"Dec 14, 2020","162.96","164.92","167.20","162.92","4.91M","1.07%"
"Dec 11, 2020","161.24","158.03","163.40","157.68","6.18M","1.84%"
"Dec 10, 2020","158.32","154.06","158.74","151.79","5.27M","4.44%"
"Dec 09, 2020","151.59","148.03","156.55","147.01","6.95M","4.55%"
"Dec 08, 2020","144.99","146.16","146.97","143.50","3.89M","0.48%"
"Dec 07, 2020","144.30","143.97","145.19","142.61","2.30M","0.16%"
"Dec 04, 2020","144.07","144.30","146.20","143.80","2.45M","-0.12%"
"Dec 03, 2020","144.24","143.45","145.08","142.09","3.06M","0.38%"
"Dec 02, 2020","143.70","139.36","143.82","139.20","3.50M","2.45%"
"Dec 01, 2020","140.26","139.06","142.20","137.57","3.15M","0.91%"
"Nov 30, 2020","138.99","137.27","139.40","135.01","5.70M","-0.31%"
"Nov 27, 2020","139.42","136.75","139.99","135.09","3.29M","2.51%"
"Nov 25, 2020","136.00","133.40","136.08","132.28","3.10M","1.22%"
"Nov 24, 2020","134.36","134.79","135.28","132.49","4.70M","0.99%"
"Nov 23, 2020","133.04","136.21","136.54","132.50","5.68M","-2.26%"
"Nov 20, 2020","136.11","137.10","137.97","136.00","5.84M","-0.27%"
"Nov 19, 2020","136.48","138.11","138.97","135.74","5.91M","-3.93%"
"Nov 18, 2020","142.07","143.47","147.20","142.00","5.83M","-1.29%"
"Nov 17, 2020","143.92","144.98","145.44","141.05","5.06M","-2.65%"
"Nov 16, 2020","147.84","146.85","151.12","146.23","4.90M","1.90%"
"Nov 13, 2020","145.08","144.51","145.20","142.50","2.44M","1.83%"
"Nov 12, 2020","142.47","144.00","145.97","142.06","2.79M","-0.41%"
"Nov 11, 2020","143.06","142.21","143.43","140.77","2.67M","-0.13%"
"Nov 10, 2020","143.25","141.83","145.23","141.55","3.69M","-0.65%"
"Nov 09, 2020","144.19","148.32","148.32","143.25","3.23M","0.13%"
"Nov 06, 2020","144.00","143.87","145.36","141.79","2.50M","0.04%"
"Nov 05, 2020","143.94","145.00","145.00","141.98","4.30M","2.59%"
"Nov 04, 2020","140.31","137.84","143.77","135.79","4.87M","4.62%"
"Nov 03, 2020","134.11","134.66","134.96","131.00","2.61M","0.04%"
"Nov 02, 2020","134.05","134.31","137.87","132.89","2.71M","0.75%"
"Oct 30, 2020","133.05","131.00","133.31","130.47","5.50M","0.83%"
"Oct 29, 2020","131.96","130.94","132.93","130.06","5.31M","0.96%"
"Oct 28, 2020","130.70","131.72","131.90","128.02","5.82M","-3.11%"
"Oct 27, 2020","134.89","131.93","135.31","131.89","3.60M","1.46%"
"Oct 26, 2020","132.95","132.50","134.88","131.24","3.64M","-0.73%"
"Oct 23, 2020","133.93","133.00","134.15","130.30","1.78M","0.81%"
"Oct 22, 2020","132.86","134.87","135.07","130.48","2.30M","-1.47%"
"Oct 21, 2020","134.84","132.87","136.13","132.06","3.69M","3.66%"
"Oct 20, 2020","130.08","130.16","131.68","128.49","2.18M","0.64%"
"Oct 19, 2020","129.25","131.34","133.38","128.76","2.23M","-0.86%"
"Oct 16, 2020","130.37","131.90","132.91","130.23","2.53M","0.25%"
"Oct 15, 2020","130.04","134.37","134.64","129.68","6.42M","-4.43%"
"Oct 14, 2020","136.07","127.58","138.97","127.35","11.03M","7.10%"
"Oct 13, 2020","127.05","127.84","128.01","126.48","2.34M","-0.52%"
"Oct 12, 2020","127.72","128.97","128.97","127.13","3.46M","0.97%"
"Oct 09, 2020","126.49","126.79","127.64","126.11","1.35M","-0.21%"
"Oct 08, 2020","126.75","128.19","128.19","126.42","1.34M","0.32%"
"Oct 07, 2020","126.35","125.51","126.96","125.36","1.72M","1.22%"
"Oct 06, 2020","124.83","124.34","127.05","124.18","1.61M","0.10%"
"Oct 05, 2020","124.70","124.83","126.12","124.10","1.93M","0.06%"
"Oct 02, 2020","124.62","124.66","126.09","123.50","2.04M","-1.45%"
"Oct 01, 2020","126.45","126.80","127.25","125.55","1.84M","-0.11%"
"Sep 30, 2020","126.59","123.68","128.98","123.16","3.86M","3.27%"
"Sep 29, 2020","122.58","125.02","125.77","122.48","3.91M","-2.75%"
"Sep 28, 2020","126.04","124.25","126.04","124.25","4.00M","1.82%"
"Sep 25, 2020","123.79","122.24","123.95","121.00","3.21M","0.02%"
"Sep 24, 2020","123.76","121.40","123.88","120.92","2.64M","0.68%"
"Sep 23, 2020","122.92","123.61","126.39","122.67","2.46M","-0.89%"
"Sep 22, 2020","124.03","124.51","124.83","122.77","1.89M","-0.42%"
"Sep 21, 2020","124.55","121.64","124.66","120.28","2.66M","-0.09%"
"Sep 18, 2020","124.66","124.60","125.10","122.51","3.24M","-0.01%"
"Sep 17, 2020","124.67","123.22","124.80","123.22","2.44M","-1.08%"
"Sep 16, 2020","126.03","124.98","127.25","124.65","2.46M","1.24%"
"Sep 15, 2020","124.49","123.20","124.56","122.40","2.41M","2.14%"
"Sep 14, 2020","121.88","121.02","122.89","120.91","1.23M","1.04%"
"Sep 11, 2020","120.62","119.97","122.14","118.86","2.32M","1.23%"
"Sep 10, 2020","119.16","119.27","119.69","117.77","3.46M","-0.20%"
"Sep 09, 2020","119.40","120.01","120.37","118.48","1.96M","0.08%"
"Sep 08, 2020","119.31","117.59","120.25","116.41","3.51M","-2.90%"
"Sep 04, 2020","122.87","120.91","123.08","119.77","3.14M","1.19%"
"Sep 03, 2020","121.42","123.06","124.11","119.78","3.78M","-2.29%"
"Sep 02, 2020","124.26","127.60","128.97","123.60","2.72M","-2.10%"
"Sep 01, 2020","126.93","125.37","127.09","124.93","1.69M","1.89%"
"Aug 31, 2020","124.57","126.39","127.66","124.55","4.09M","-3.43%"
"Aug 28, 2020","129.00","127.12","129.03","126.58","1.86M","1.38%"
"Aug 27, 2020","127.25","127.21","128.39","125.67","2.67M","-0.17%"
"Aug 26, 2020","127.47","125.68","128.00","123.80","5.61M","1.41%"
"Aug 25, 2020","125.70","122.52","126.03","121.95","4.30M","2.29%"
"Aug 24, 2020","122.88","123.87","124.68","122.46","2.38M","0.35%"
