"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 25, 2021","62,495,000","64,700,000","64,700,000","62,495,000","0.34K","-3.41%"
"Mar 24, 2021","64,700,000","65,347,000","66,358,000","64,700,000","1.72K","-0.94%"
"Mar 23, 2021","65,314,000","64,452,000","65,654,000","64,452,000","1.09K","1.34%"
"Mar 22, 2021","64,453,000","67,103,000","67,306,000","64,453,000","1.74K","-3.94%"
"Mar 21, 2021","67,097,000","67,470,000","67,470,000","67,097,000","0.80K","-0.56%"
"Mar 20, 2021","67,473,000","67,729,000","68,476,000","67,473,000","1.15K","-0.37%"
"Mar 19, 2021","67,726,000","66,905,000","67,726,000","66,905,000","0.85K","1.23%"
"Mar 18, 2021","66,900,000","68,342,000","68,342,000","66,900,000","1.63K","-2.12%"
"Mar 17, 2021","68,346,000","65,998,000","68,346,000","63,726,000","2.17K","3.56%"
"Mar 16, 2021","65,997,000","64,432,000","65,997,000","63,078,000","0.98K","2.43%"
"Mar 15, 2021","64,429,000","68,567,000","68,567,000","63,839,000","1.31K","-6.01%"
"Mar 14, 2021","68,550,000","70,588,000","70,815,000","68,550,000","0.78K","-2.91%"
"Mar 13, 2021","70,604,000","66,447,000","70,604,000","66,447,000","1.55K","6.23%"
"Mar 12, 2021","66,465,000","66,103,000","66,684,000","66,103,000","1.24K","0.55%"
"Mar 11, 2021","66,103,000","64,206,000","66,103,000","64,206,000","1.74K","3.04%"
"Mar 10, 2021","64,151,000","62,950,000","64,237,000","62,950,000","2.10K","1.96%"
"Mar 09, 2021","62,916,000","59,796,000","62,916,000","59,579,000","1.32K","5.25%"
"Mar 08, 2021","59,777,000","58,016,000","59,777,000","58,016,000","4.55K","3.04%"
"Mar 07, 2021","58,016,000","56,073,000","58,016,000","56,073,000","1.15K","3.44%"
"Mar 06, 2021","56,086,000","56,533,000","56,533,000","56,086,000","4.16K","-0.74%"
"Mar 05, 2021","56,506,000","56,325,000","56,506,000","56,325,000","6.09K","0.28%"
"Mar 04, 2021","56,351,000","57,782,000","57,782,000","55,914,000","1.92K","-2.58%"
"Mar 03, 2021","57,841,000","55,927,000","57,841,000","55,927,000","1.54K","3.36%"
"Mar 02, 2021","55,963,000","56,376,000","56,376,000","55,776,000","5.89K","-0.70%"
"Mar 01, 2021","56,355,000","51,795,000","56,355,000","51,795,000","3.22K","8.81%"
